"Country","CountName","Ara","For","Mea","Oth"
"MUS",NA,38.916,19.079,3.448,38.557
"MWI",NA,40.305,24.223,19.622,15.85
"MYS",NA,25.22,58.33,0.867,15.583
"MYT",NA,53.422,37.273,0.053,9.251
"NAM",NA,0.984,8.15,46.156,44.71
"NCL",NA,0.531,45.849,9.537,44.084
"NER",NA,14.066,0.862,22.722,62.349
"NFK",NA,0,12.25,25,62.75
"NGA",NA,44.468,23.925,31.428,0.179
"NIC",NA,14.875,29.147,27.215,28.764
"NIU",NA,15.385,72.538,3.846,8.231
"NLD",NA,31.149,10.947,22.81,35.094
"NOR",NA,2.199,33.34,0.49,63.971
"NPL",NA,16.224,41.591,12.524,29.661
"NRU",NA,20,0,0,80
"NZL",NA,2.355,37.467,36.934,23.244
"OECD",NA,11.247,32.755,22.848,32.447
"OMN",NA,0.357,0.008,4.365,95.27
"PAK",NA,40.603,4.887,6.486,48.024
"PAN",NA,10.111,56.959,20.342,12.588
"PCN",NA,0,74.468,0,25.532
"PER",NA,4.436,56.643,14.688,24.233
"PHL",NA,36.69,23.992,5.031,34.287
"PLW",NA,5,89.848,4.348,0.804
"PNG",NA,2.208,79.25,0.42,18.122
"POL",NA,37.225,30.94,10.219,21.074
"PRI",NA,7.351,55.901,11.578,25.17
"PRK",NA,21.427,50.256,0.415,27.902
"PRT",NA,18.538,36.155,20.477,24.64
"PRY",NA,12.142,41.232,42.789,3.837
"PYF",NA,7.347,43.06,5.762,43.832
"QAT",NA,1.48,0,4.352,94.169
"ROU",NA,40.76,30.116,19.332,9.792
"RUS",NA,7.538,49.784,5.621,37.057
"RWA",NA,56.818,11.147,16.619,15.415
"SAU",NA,1.674,0.454,79.081,18.791
"SDN",NA,10.811,10.021,26.062,53.106
"SEN",NA,17.026,42.114,29.086,11.774
"SGP",NA,0.922,21.997,0,77.081
"SLB",NA,3.894,90.164,0.286,5.656
"SLE",NA,24.231,35.392,30.479,9.897
"SLV",NA,42.519,28.397,15.188,13.896
"SMR",NA,38.333,16.667,0,45
"SOM",NA,1.793,9.655,68.543,20.009
"SPM",NA,8.696,5.391,0,85.913
"STP",NA,44.792,54.708,1.042,0
"SUR",NA,0.436,97.491,0.103,1.971
"SVK",NA,28.432,40.056,10.774,19.574
"SVN",NA,11.644,61.573,18.763,7.812
"SWE",NA,6.245,68.699,1.133,23.923
"SWZ",NA,11.047,28.858,60,0.096
"SYC",NA,3.37,73.261,0,23.37
"SYR",NA,31.22,2.843,44.59,21.347
"TCA",NA,1.053,11.074,0,87.874
"TCD",NA,4.16,3.512,35.737,56.591
"TGO",NA,51.848,22.288,18.386,7.479
"THA",NA,41.712,38.969,1.566,17.753
"TJK",NA,6.144,3.046,27.92,62.89
"TKL",NA,60,0,0,40
"TKM",NA,4.256,8.782,67.751,19.211
"TLS",NA,15.467,62.038,10.087,12.408
