Year,Group,Sample,SampID,GSample,Drain,Zone,ZoneSimp,Type,Type2,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
2019,2,5,2019_2_5,2_5,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399934,6468116,115.9415626,-31.91843867,0,15,5,4.93,1.046,17955,NA,NA,NA,17955,2675,0.99,7.1,1094,0.027,3.7,4.5,3,8.8,2851,NA,NA,83,2.3,1,183,9,0.14,212,1.6,NA,170,6.8,NA,1111,NA,6,0.4,NA,4.5,0.8,380.7
2019,2,6,2019_2_6,2_6,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399927,6468136,115.9414906,-31.91825765,0,15,5,5.58,0.738,500,500,NA,NA,1000,4499,2.79,15.1,2170,0.078,6.8,25.1,4.7,7.7,7538,NA,0.77,166,3.9,1.7,392,78,0.31,368,2.5,NA,420,9.2,NA,3163,NA,14,2.6,NA,10.1,1.6,981.6
2019,2,7,2019_2_7,2_7,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399913,6468165,115.9413455,-31.91799482,0,15,5,5.62,0.739,100,3500,NA,NA,3600,5870,2.13,23.3,2007,0.043,8.3,29.9,7.1,NA,11144,NA,0.68,160,3.9,1.6,353,139,0.24,305,2.9,NA,521,10.7,NA,1676,NA,14,2.2,NA,12.8,1.5,700.6
2019,2,8,2019_2_8,2_8,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,399993,6468025,115.9421771,-31.91926472,0,15,5,5.25,15.15,NA,NA,NA,NA,NA,14663,7.57,25.5,6640,0.443,19.5,40.7,19.9,44.3,32962,NA,1.98,1600,13.2,11.7,6872,152,6.66,33719,8.3,15.7,1075,40,NA,40943,NA,98,2.9,NA,33.6,4.9,5210.4
2019,2,9,2019_2_9,2_9,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,400006,6467977,115.9423097,-31.91969885,0,15,5,6.47,6.06,17920,995,NA,NA,18915,35638,1.04,37.3,2230,0.167,73.5,15.1,54.6,27.1,54763,NA,5.93,2170,42.5,52.3,3533,199,2.38,8222,29.1,18.8,379,24.3,NA,1726,NA,43,15.1,NA,83,20.9,113.6
2019,2,10,2019_2_10,2_1,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399973,6468065,115.9419698,-31.91890215,0,15,5,3.49,10.45,1494,1993,NA,NA,3487,8215,4.7,23.3,1842,0.156,11.2,10.4,11.9,19.2,11441,NA,1.16,486,6.9,4.6,1691,27,1.71,8905,4.6,5.6,623,24.9,NA,6688,NA,23,1.2,NA,16.9,2.4,1120
2019,3,1,2019_3_1,3_1,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400068,6467981,115.9429658,-31.91966822,NA,NA,NA,7.54,2.656,6500,4000,NA,NA,10500,23332,6.84,32.8,3311,0.248,51.9,12,36.4,78.6,32906,NA,3.9,1382,27.1,26.9,3184,103,2.44,7618,20.7,14.8,320,39.2,NA,14970,NA,45,12.6,NA,54.9,14.1,232.6
2019,3,2,2019_3_2,3_2,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400086,6467997,115.9431578,-31.91952548,NA,NA,NA,7.68,1.382,4000,NA,NA,NA,4000,25080,5.26,28.2,1967,0.038,51,7.9,34.3,25.7,24378,NA,3.7,1265,26.4,31.1,2412,67,1.57,3925,19.9,12.3,170,23.3,NA,5785,NA,29,11.3,NA,43.7,13.3,59
2019,3,3,2019_3_3,3_3,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400090,6468004,115.9432008,-31.91946269,NA,NA,NA,8.08,1.7,3500,2000,NA,NA,5500,20600,8.54,25.9,2624,0.189,48.9,16.7,30.6,70.3,47878,NA,4.07,1230,26.5,23.4,2631,115,1.71,4205,19.3,17.3,340,49.9,NA,16082,NA,39,8.1,NA,48.7,13.2,189.3
2019,3,4,2019_3_4,3_4,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400101,6468013,115.9433181,-31.91938247,NA,NA,NA,8.27,1.014,4500,2000,NA,NA,6500,25170,11.52,29.4,2301,0.521,55.3,18.5,36.4,217.1,45712,NA,4.57,1390,28.7,31.4,2809,73,3.65,5161,21.8,17.8,492,72.4,NA,10020,NA,36,10.1,NA,54.9,14.8,403.4
2019,3,5,2019_3_5,3_5,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400112,6468026,115.9434358,-31.91926617,NA,NA,NA,7.46,2.81,2500,1500,NA,NA,4000,28997,4.31,35.7,3682,0.335,79.5,25.5,49.8,58.1,41723,NA,5.6,2056,41,31.7,3875,123,2.32,8707,31.1,23.5,452,48,NA,14246,NA,53,12.5,NA,68.4,20.7,314.8
2019,3,6,2019_3_6,3_6,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400123,6468034,115.9435529,-31.91919498,NA,NA,NA,7.34,2.62,2000,500,NA,NA,2500,34925,7.39,29.6,1857,0.206,65.1,18,51.5,48.5,78239,NA,6.51,1831,28.1,44,2932,102,11.76,5253,28.8,22.6,472,33.8,NA,3405,NA,31,14.9,NA,89.3,17.2,164.3
2019,3,7,2019_3_7,3_7,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400133,6468045,115.9436598,-31.91909663,NA,NA,NA,7.17,4.25,2000,1000,NA,NA,3000,31952,5.61,27.4,1967,0.19,86.9,12.6,47.7,36.5,53069,NA,6.28,1572,43.6,42.9,2717,77,11.49,4171,32.3,18.7,400,30,NA,3921,NA,34,12.9,NA,77.5,25.4,136.4
