"Country","CountName","Ara","For","Mea","Oth"
"MCO","Monaco",0.01,0.01,0.01,100
"MDA","Moldova",58.435,11.753,10.336,18.859
"MDG","Madagascar",6.188,21.387,64.103,8.322
"MDV","Maldives",18,2.733,3.333,75.933
"MEX","Mexico",11.384,33.859,38.055,16.695
"MHL","Marshall Islands",47.222,52.222,0.556,0.01
"MKD","North Macedonia",18.239,39.71,31.919,10.131
"MLI","Mali",5.377,10.897,28.389,55.337
"MLT","Malta",32.438,1.438,0.01,66.125
"MMR","Myanmar",19.152,44.176,0.457,36.216
"MNG","Mongolia",0.857,9.102,71.947,18.028
"MNP","Northern Mariana Islands",0.37,52.957,0.804,45.87
"MOZ","Mozambique",7.566,47.008,45.098,0.328
"MRT","Mauritania",0.399,0.309,38.081,61.212
"MSR","Montserrat",20,25,10,45
"MTQ","Martinique",14.717,49.142,14.811,21.33
"MUS","Mauritius",38.916,19.079,3.448,38.557
"MWI","Malawi",40.305,24.223,19.622,15.85
"MYS","Malaysia",25.22,58.33,0.867,15.583
"MYT","Mayotte",53.422,37.273,0.053,9.251
"NAM","Namibia",0.984,8.15,46.156,44.71
"NCL","New Caledonia",0.531,45.849,9.537,44.084
"NER","Niger",14.066,0.862,22.722,62.349
"NFK","Norfolk Island",0.01,12.25,25,62.75
"NGA","Nigeria",44.468,23.925,31.428,0.179
"NIC","Nicaragua",14.875,29.147,27.215,28.764
"NIU","Niue",15.385,72.538,3.846,8.231
"NLD","Netherlands",31.149,10.947,22.81,35.094
"NOR","Norway",2.199,33.34,0.49,63.971
"NPL","Nepal",16.224,41.591,12.524,29.661
"NRU","Nauru",20,0.01,0.01,80
"NZL","New Zealand",2.355,37.467,36.934,23.244
"OECD","OECD Total",11.247,32.755,22.848,32.447
"OMN","Oman",0.357,0.008,4.365,95.27
"PAK","Pakistan",40.603,4.887,6.486,48.024
"PAN","Panama",10.111,56.959,20.342,12.588
"PCN","Pitcairn",0.01,74.468,0.01,25.532
"PER","Peru",4.436,56.643,14.688,24.233
"PHL","Philippines",36.69,23.992,5.031,34.287
"PLW","Palau",5,89.848,4.348,0.804
"PNG","Papua New Guinea",2.208,79.25,0.42,18.122
"POL","Poland",37.225,30.94,10.219,21.074
"PRI","Puerto Rico",7.351,55.901,11.578,25.17
"PRK","N Korea",21.427,50.256,0.415,27.902
"PRT","Portugal",18.538,36.155,20.477,24.64
"PRY","Paraguay",12.142,41.232,42.789,3.837
"PYF","French Polynesia",7.347,43.06,5.762,43.832
"QAT","Qatar",1.48,0.01,4.352,94.169
"ROU","Romania",40.76,30.116,19.332,9.792
"RUS","Russia",7.538,49.784,5.621,37.057
"RWA","Rwanda",56.818,11.147,16.619,15.415
"SAU","Saudi Arabia",1.674,0.454,79.081,18.791
"SDN","Sudan",10.811,10.021,26.062,53.106
"SEN","Senegal",17.026,42.114,29.086,11.774
"SGP","Singapore",0.922,21.997,0.01,77.081
"SLB","Solomon Islands",3.894,90.164,0.286,5.656
"SLE","Sierra Leone",24.231,35.392,30.479,9.897
"SLV","El Salvador",42.519,28.397,15.188,13.896
"SMR","San Marino",38.333,16.667,0.01,45
"SOM","Somalia",1.793,9.655,68.543,20.009
"SPM","Saint Pierre and Miquelon",8.696,5.391,0.01,85.913
"STP","Sao Tome and Principe",44.792,54.708,1.042,0.01
"SUR","Suriname",0.436,97.491,0.103,1.971
"SVK","Slovak Republic",28.432,40.056,10.774,19.574
"SVN","Slovenia",11.644,61.573,18.763,7.812
"SWE","Sweden",6.245,68.699,1.133,23.923
"SWZ","Eswatini",11.047,28.858,60,0.096
"SYC","Seychelles",3.37,73.261,0.01,23.37
"SYR","Syrian Arab Republic",31.22,2.843,44.59,21.347
"TCA","Turks and Caicos Islands",1.053,11.074,0.01,87.874
"TCD","Chad",4.16,3.512,35.737,56.591
"TGO","Togo",51.848,22.288,18.386,7.479
"THA","Thailand",41.712,38.969,1.566,17.753
"TJK","Tajikistan",6.144,3.046,27.92,62.89
"TKL","Tokelau",60,0.01,0.01,40
"TKM","Turkmenistan",4.256,8.782,67.751,19.211
"TLS","Timor-Leste",15.467,62.038,10.087,12.408
"TON","Tonga",43.056,12.431,5.556,38.958
"TTO","Trinidad and Tobago",9.162,44.563,1.365,44.91
"TUN","Tunisia",32.138,4.513,30.574,32.774
"TUR","Turkey",30.013,28.669,18.992,22.326
"TUV","Tuvalu",60,33.333,0.01,6.667
"TZA","Tanzania",17.668,52.172,27.094,3.066
"UGA","Uganda",45.382,11.865,26.506,16.247
"UKR","Ukraine",58.297,16.714,13.003,10.984
"URY","Uruguay",11.696,11.484,68.564,8.256
"USA","United States",17.539,33.867,26.824,21.77
"UZB","Uzbekistan",10.072,8.316,47.935,33.677
"VAT","Holy See",0.01,0.01,0.01,100
"VCT","Saint Vincent and the Grenadines",12.821,73.18,5.128,8.872
"VEN","Venezuela",3.741,52.46,20.634,23.165
"VGB","British Virgin Islands",13.333,24.133,33.333,29.2
"VIR","United States Virgin Islands",3.143,56.457,6.286,34.114
"VNM","Viet Nam",37.476,46.477,2.048,13.999
"VUT","Vanuatu",11.895,36.284,3.445,48.376
"WLD","World",11.942,31.227,24.528,32.126
"WLF","Wallis and Futuna",42.857,41.643,0.01,15.5
"WSM","Samoa",22.473,57.297,4.276,15.954
"YEM","Yemen",2.75,1.04,41.669,54.541
"ZAF","South Africa",10.233,14.085,69.185,6.497
"ZMB","Zambia",5.16,60.537,26.904,7.4
"ZWE","Zimbabwe",10.598,45.213,31.278,12.91
