Depth_[m],Depth_top_[m],Depth_bot_[m],Mode,D50,Grain_size_mean,Sort,Q90,Q99,F_0.06,F_0.07,F_0.08,F_0.09,F_0.11,F_0.13,F_0.15,F_0.17,F_0.2,F_0.23,F_0.27,F_0.31,F_0.36,F_0.42,F_0.49,F_0.58,F_0.67,F_0.78,F_0.91,F_1.06,F_1.24,F_1.44,F_1.68,F_1.95,F_2.28,F_2.65,F_3.09,F_3.6,F_4.19,F_4.88,F_5.69,F_6.63,F_7.72,F_9,F_10.48,F_12.21,F_14.22,F_16.57,F_19.31,F_22.49,F_26.2,F_30.53,F_35.56,F_41.43,F_48.27,F_56.23,F_65.51,F_76.32,F_88.91,F_103.58,F_120.67,F_140.58,F_163.77,F_190.8,F_222.28,F_258.95,F_301.68,F_351.46,F_409.45,F_477.01,F_555.71,F_647.41,F_754.23,F_878.67
0.19,0.187,0.193,30.96,21.69,38.36,2.77,112.12,267.54,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.22,0.31,0.39,0.45,0.47,0.46,0.44,0.41,0.38,0.37,0.41,0.45,0.52,0.62,0.74,0.88,1.06,1.28,1.52,1.79,2.06,2.31,2.55,2.76,2.94,3.1,3.25,3.4,3.56,3.71,3.85,3.96,4.04,4.08,4.09,4.06,4,3.92,3.75,3.53,3.26,2.94,2.57,2.19,1.82,1.49,1.21,0.94,0.66,0.39,0.11,0,0,0,0,0
0.198,0.195,0.2,30.48,22.32,40.29,2.83,119.22,286.85,0,0.01,0.01,0.02,0.04,0.07,0.12,0.17,0.25,0.32,0.4,0.44,0.46,0.44,0.42,0.4,0.38,0.38,0.42,0.48,0.55,0.64,0.76,0.9,1.08,1.29,1.52,1.77,2.02,2.26,2.48,2.67,2.84,2.99,3.14,3.3,3.46,3.62,3.77,3.9,3.99,4.03,4.03,3.99,3.93,3.84,3.69,3.51,3.29,3.01,2.69,2.33,1.96,1.61,1.3,1.04,0.78,0.52,0.26,0,0,0,0,0
0.225,0.2,0.25,62.15,32.58,48.65,2.77,130.99,283.22,0,0.01,0.01,0.02,0.04,0.06,0.1,0.15,0.21,0.28,0.35,0.4,0.41,0.4,0.39,0.37,0.36,0.35,0.38,0.42,0.48,0.56,0.65,0.77,0.91,1.08,1.26,1.45,1.63,1.8,1.95,2.08,2.19,2.29,2.4,2.53,2.7,2.89,3.11,3.35,3.61,3.87,4.13,4.36,4.57,4.73,4.88,4.81,4.58,4.21,3.71,3.13,2.54,1.98,1.5,1.11,0.81,0.5,0.2,0,0,0,0,0
0.298,0.295,0.3,26.87,12.14,20.84,2.76,59.78,153.25,0,0,0.01,0.01,0.03,0.06,0.11,0.19,0.3,0.45,0.61,0.74,0.78,0.77,0.74,0.71,0.67,0.66,0.74,0.84,0.97,1.16,1.36,1.59,1.86,2.14,2.43,2.7,2.95,3.16,3.32,3.44,3.53,3.61,3.7,3.79,3.9,4.01,4.1,4.16,4.18,4.17,4,3.75,3.43,3.05,2.63,2.21,1.78,1.38,1.03,0.75,0.54,0.4,0.26,0.12,0,0,0,0,0,0,0,0
0.168,0.03,0.306,27.69,18.67,33.02,2.7,97.49,380.22,0,0,0,0.01,0.02,0.04,0.08,0.14,0.23,0.33,0.45,0.54,0.57,0.55,0.53,0.5,0.46,0.45,0.49,0.54,0.62,0.72,0.85,1.01,1.2,1.42,1.68,1.95,2.23,2.49,2.73,2.94,3.12,3.29,3.44,3.59,3.75,3.9,4.05,4.16,4.23,4.25,4.23,4.18,3.99,3.72,3.39,3.01,2.6,2.18,1.77,1.41,1.11,0.89,0.76,0.69,0.65,0.61,0.53,0.39,0.25,0.12,0,0
0.309,0.306,0.312,26.57,12.84,22.63,2.67,65.81,188.44,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.3,0.42,0.54,0.63,0.67,0.66,0.64,0.62,0.59,0.58,0.64,0.72,0.82,0.97,1.15,1.37,1.63,1.94,2.27,2.6,2.92,3.21,3.43,3.6,3.72,3.8,3.87,3.92,3.98,4.04,4.09,4.12,4.12,4.11,3.95,3.71,3.41,3.05,2.66,2.26,1.87,1.51,1.2,0.94,0.74,0.6,0.46,0.31,0.17,0.02,0,0,0,0,0,0
0.316,0.312,0.319,19.68,11.91,21.69,2.71,64.32,239.34,0,0,0.01,0.02,0.04,0.08,0.13,0.22,0.33,0.46,0.59,0.69,0.73,0.72,0.7,0.68,0.65,0.65,0.71,0.8,0.91,1.07,1.27,1.49,1.76,2.06,2.38,2.71,3.01,3.28,3.49,3.64,3.75,3.82,3.87,3.92,3.96,4.01,4.04,4.04,4.01,3.96,3.77,3.5,3.17,2.79,2.4,2.01,1.64,1.31,1.03,0.81,0.66,0.56,0.5,0.45,0.38,0.26,0.14,0,0,0,0,0
0.323,0.319,0.327,24.04,14.93,28.53,2.84,87.12,304.82,0,0.01,0.02,0.03,0.05,0.09,0.15,0.22,0.32,0.42,0.51,0.58,0.6,0.59,0.57,0.55,0.53,0.53,0.59,0.67,0.77,0.91,1.09,1.29,1.54,1.83,2.14,2.44,2.73,2.97,3.16,3.29,3.38,3.45,3.52,3.59,3.68,3.78,3.88,3.94,3.96,3.93,3.86,3.76,3.52,3.23,2.89,2.53,2.16,1.8,1.47,1.2,1,0.89,0.83,0.79,0.72,0.58,0.35,0.12,0,0,0,0
0.338,0.335,0.34,8.02,8.01,13,2.38,36.26,104.45,0,0,0.01,0.01,0.03,0.06,0.12,0.21,0.35,0.52,0.7,0.85,0.9,0.88,0.85,0.82,0.77,0.77,0.85,0.97,1.13,1.35,1.6,1.89,2.24,2.62,3.03,3.45,3.84,4.19,4.46,4.64,4.74,4.76,4.71,4.61,4.48,4.33,4.17,3.93,3.64,3.29,2.89,2.47,2.03,1.62,1.23,0.9,0.64,0.43,0.28,0.19,0.15,0.13,0.13,0.1,0.05,0,0,0,0,0,0,0
0.343,0.34,0.345,44.07,28.18,37.02,2.27,91.71,189.77,0,0,0,0,0.01,0.02,0.05,0.1,0.17,0.27,0.39,0.48,0.51,0.5,0.48,0.45,0.41,0.4,0.42,0.46,0.52,0.6,0.69,0.78,0.89,1.01,1.13,1.25,1.36,1.48,1.6,1.73,1.89,2.1,2.37,2.71,3.12,3.58,4.07,4.54,4.96,5.3,5.54,5.7,5.81,5.58,5.19,4.65,4,3.27,2.54,1.85,1.27,0.82,0.51,0.33,0.14,0,0,0,0,0,0,0
