Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,ROCK_TYPE,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,H2O,CO2,chk1,chk2,Ba,Co,Cr,Cu,Li,Ga,Nb,Ni,Rb,Sr,V,Y,Zn,Zr
1273,1654,SANDSTONE,SANDSTONE,737404.7,6897543,50,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,54,0.99,11.9,3.6,7.6,0.22,5.8,10.7,0.27,0.58,0.15,0.005,4.3,0.4,13,11,275,74,481,80,NA,NA,NA,320,22,380,230,18,70,95
1274,1655,SANDSTONE,SANDSTONE,712386.7,6890591,50,,-9999,-9999,U,uralitized,DOLERITE,JAH,JA Hallberg,CSIR,51.6,0.83,14.1,2.4,8,0.16,7.8,10.3,1.65,0.11,0.26,0.005,2.7,0,12,11,61,65,124,88,NA,NA,NA,96,3,97,303,80,78,47
1275,1656,SANDSTONE,SANDSTONE,712386.7,6890591,50,,-9999,-9999,U,uralitized,BASALT,JAH,JA Hallberg,CSIR,50.9,0.92,13.9,2.3,9.3,0.2,6.4,10.3,2.26,0.12,0.15,0.005,2.2,0.2,13,10,NA,61,177,90,NA,NA,NA,132,3,146,302,24,70,50
1391,1041,SOUTHERN CROSS,SOUTHERN CROSS,740566.6,6513609,50,,-9999,-9999,CTS,chlorite tremolite schist,HIGH MG BASALT,JAH,JA Hallberg,CSIR,47.6,0.41,8.1,2.2,7.6,0.17,20.7,8.7,1.21,0.03,0.05,0.005,2.5,0,12,11,NA,77,1579,57,NA,7,5,826,NA,34,152,8,63,25
1392,1042,SOUTHERN CROSS,SOUTHERN CROSS,740566.6,6513609,50,,-9999,-9999,CTS,chlorite tremolite schist,HIGH MG BASALT,JAH,JA Hallberg,CSIR,46.7,0.47,8.7,2.5,8,0.17,21.2,7.1,0.93,0.01,0.03,0.005,3.5,0,12,11,NA,75,1842,84,NA,10,5,900,NA,39,189,7,68,22
1398,1690,SOUTHERN CROSS,SOUTHERN CROSS,716660.9,6531019,50,,-9999,-9999,CTS,chlorite tremolite schist,HIGH MG BASA-T,JAH,JA Hallberg,CSIR,46,0.51,9.2,2.3,8.7,0.21,17.9,10.1,1.21,0.07,0.04,0.005,2.9,0,12,10,NA,108,2513,10,NA,NA,NA,620,5,134,203,22,55,27
1399,1691,SOUTHERN CROSS,SOUTHERN CROSS,716224.9,6531675,50,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,51.9,1.07,13.8,2,9.2,0.23,7,13,0.6,0.08,0.1,0.005,1.3,0,12,10,58,91,30,100,NA,NA,NA,87,NA,73,297,31,90,84
1404,1857,SOUTHERN CROSS,SOUTHERN CROSS,749054.8,6508540,50,,-9999,-9999,CTS,chlorite tremolite schist,HIGH MG BASALT,JAH,JA Hallberg,CSIR,48.7,0.61,11.1,2.3,8.4,0.19,14.4,9.3,2.14,0.06,0.05,0.005,2,0,12,10,53,95,1361,30,NA,NA,NA,370,NA,100,236,20,88,38
1413,593,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,53.5,1.81,17.4,2.3,7.2,0.22,3.9,8.4,4.4,0.29,0.24,0.005,1.2,0,12,10,NA,47,270,52,8,NA,NA,160,10,892,NA,26,143,190
1414,594,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,52,1.51,14.9,1.9,10.1,0.16,6.4,8.9,3.27,0.3,0.18,0.005,0.9,0,12,10,NA,51,240,64,7,NA,NA,185,10,661,NA,19,141,142
1415,595,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,51.8,1.5,15,2.3,10,0.15,6.4,9.3,3.33,0.17,0.19,0.005,0.8,0,12,10,NA,61,265,64,4,NA,NA,177,23,684,NA,21,148,141
1416,596,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,53,1.86,13.9,2.4,9.9,0.17,5.8,9.6,2.05,0.28,0.2,0.005,0.9,0,12,10,NA,59,230,86,4,NA,NA,155,8,737,NA,23,146,173
1417,597,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,51.2,1.49,14.2,2,9.3,0.16,5.9,9.5,3.11,0.2,0.19,0.005,2.1,0.7,13,10,NA,54,185,26,11,NA,NA,172,8,572,NA,18,129,137
1418,598,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,51.8,1.49,14.9,1.9,9.3,0.15,5.7,9.5,3.11,0.21,0.23,0.005,2.1,0.7,13,10,NA,54,185,26,11,NA,NA,172,8,572,NA,18,129,137
1419,599,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,52.2,1.51,14.9,2.7,9.1,0.18,5.9,9,2.7,0.53,0.19,0.005,1.2,0,12,10,NA,56,254,39,3,NA,NA,180,30,923,NA,22,138,170
1420,600,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,51.5,1.5,14.6,2.7,9.5,0.14,6.6,8.1,3.95,0.24,0.13,0.005,1.4,0,12,10,NA,54,225,47,5,NA,NA,178,5,1059,NA,20,175,196
1421,601,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,54.4,1.71,16,5.4,5.5,0.18,3.1,4.9,4.92,0.57,0.08,0.005,2.8,0.2,13,10,NA,46,235,41,3,NA,NA,163,20,510,NA,18,135,139
1422,602,WIDGIEMOOLTHA,WIDGIEMOOLTHA,363758.2,6521194,51,,-9999,-9999,R,recrystallized,DOLERITE,JAH,JA Hallberg,UWA,54.7,1.76,16.3,5.1,5.5,0.18,3.1,5.2,4.92,0.6,0.08,0.005,2.6,0.2,13,10,NA,46,235,41,3,NA,NA,163,20,510,NA,18,135,139
1423,603,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374201.3,6520093,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,54,0.63,12.9,1.5,8.5,0.19,7.9,10.9,1.99,0.15,0.11,0.005,1.1,0,12,11,NA,48,375,62,1,NA,NA,87,5,122,221,20,90,73
1425,605,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374201.3,6520093,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,51.9,0.69,14.5,1.4,7.1,0.16,7.8,9.8,3.63,0.11,0.07,0.005,1.9,0,12,11,NA,44,400,48,1,NA,NA,78,3,158,287,21,59,83
1446,626,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,50.1,1.38,13.3,3,8.7,0.18,7.4,10.6,3.03,0.15,0.23,0.005,1.2,0,12,11,NA,54,525,74,11,NA,NA,133,3,108,351,27,117,86
1447,627,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,54.7,1.31,12.9,1.3,8.2,0.15,6.9,9.1,3.45,0.05,0.19,0.005,1,0.1,13,11,NA,60,500,84,1,NA,NA,156,7,146,351,23,88,88
1448,628,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,52,1.32,13.7,1.8,9.8,0.15,7.9,9.8,3.58,0.09,0.19,0.005,0.8,0,12,11,NA,65,420,92,3,NA,NA,134,5,174,347,25,111,94
1449,629,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,BASALT,JAH,JA Hallberg,UWA,47.5,1.37,11.9,2.9,11.4,0.22,9.7,12.1,1.43,0.17,0.24,0.005,1.1,0,12,11,NA,77,529,62,1,NA,NA,149,9,60,352,27,151,73
1817,1180,YOUANMI,YOUANMI,688967,6838241,50,,-9999,-9999,EU,epidotized; uralitized,BASALT,JAH,JA Hallberg,CSIR,51.3,0.64,14.7,3.3,4,0.13,7.5,13.9,2.02,0.55,0.01,0.005,1.6,0,12,12,257,34,132,10,NA,NA,7,89,15,111,280,22,35,42
1818,1181,YOUANMI,YOUANMI,689700.2,6838199,50,,-9999,-9999,U,uralitized,BASALT,JAH,JA Hallberg,CSIR,51.3,0.82,14.7,3.6,6.2,0.12,7.1,9.5,3.44,0.52,0.02,0.005,2.3,0,12,13,344,58,12,10,3,NA,10,162,7,92,268,25,55,64
1819,1182,YOUANMI,YOUANMI,690820.4,6838550,50,,-9999,-9999,EU,epidotized; uralitized,BASALT,JAH,JA Hallberg,CSIR,50.8,0.21,14.8,2.6,5.5,0.17,8.2,14.2,1.77,0.04,0.01,0.005,1.8,0,12,10,NA,40,454,19,NA,NA,5,91,NA,90,204,8,28,13
1821,1657,YOUANMI,YOUANMI,692035.3,6861377,50,,-9999,-9999,U,uralitized,BASALT,JAH,JA Hallberg,CSIR,50.9,0.49,14.5,1.7,9,0.2,8.2,11.3,1.79,0.18,0.13,0.005,1.7,0,12,10,NA,59,353,35,NA,NA,NA,140,9,50,258,9,80,22
