"Code","Group","Sample.ID","Type","Easting","Northing","Longitude","Latitude","Location","Depth_min","Depth_max","pH","EC","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"CVR_2_2",2,"2","Soil",391282,6466714,115.8499047,-31.93028956,"Charles Veryard Reserve (CVR)",0,0.1,6.25,106.6,2292,1.56,8.78,1177,0.07,2.75,6.18,4.53,2184,0.43,143.8,1.39,300.07,28.69,0.22,98.2,1.37,0.68,180,13.18,282.65,6.34,NA,4.54,1.19,27.21
"CVR_2_3",2,"3","Soil",391302,6466744,115.8501196,-31.93002087,"Charles Veryard Reserve (CVR)",0,0.1,7.09,125.9,3358,2.77,18.11,11589,0.14,4.23,9.54,30.39,3083,0.55,114.4,2.08,805.61,31.99,0.26,197.8,1.33,2.19,191.6,36.78,255.11,72.09,0.86,6.3,2.03,121.93
"CVR_2_4",2,"4","Soil",391347,6466733,115.8505943,-31.9301244,"Charles Veryard Reserve (CVR)",0,0.1,6.8,58.5,3833,4.82,41.58,5249,0.66,5.99,12.45,58.83,5640,0.54,194.6,2.7,600.99,50.67,0.57,107.5,1.94,5.05,465.1,111.31,483.11,22.93,0.91,7.82,1.93,303.99
"CVR_2_5",2,"5","Soil",391365,6466750,115.8507866,-31.92997278,"Charles Veryard Reserve (CVR)",0,0.1,7.17,88.7,2628,2.91,17.71,6124,0.17,4.38,8.72,16.31,4863,0.59,83.9,1.99,430.34,29.15,0.41,71.2,2.11,2.73,261.8,48.59,343.36,27.77,1.1,4.97,2.06,102.79
"CVR_2_6",2,"6","Soil",391404,6466739,115.8511979,-31.93007574,"Charles Veryard Reserve (CVR)",0,0.1,6.06,71.7,3418,1.23,10.88,803,0.04,3.25,6.43,5.25,1869,0.69,67.6,1.44,190.75,10.97,0.21,57.7,1.93,0.9,127.2,7.02,163.35,4.14,0.58,6.94,1.74,33.36
"CVR_2_7",2,"7","Soil",391369,6466727,115.8508263,-31.93018063,"Charles Veryard Reserve (CVR)",0,0.1,6.29,108.9,2681,2.28,8.51,1347,0.03,3.25,9.04,4.91,2012,0.66,78.1,1.62,200.12,13.54,0.19,58.5,1.7,0.25,133.9,6.87,159.74,6.12,0.65,6.73,1.77,26.67
"SLR_2_Sed2",2,"Sed2","Sediment",391338,6466467,115.8504693,-31.93252289,"Smith's Lake Reserve (SLR)",0,0.1,5.14,NA,1625,1.73,11.08,558,0.11,3.15,4.73,15.38,2661,0.63,99.2,1.92,183.75,8.63,0.47,90.6,2.06,1.44,63.4,71.9,2435.78,3.35,0.58,5.6,1.99,68.11
"CVR_3_1",3,"1","Soil",391079.1,6466659,115.8477525,-31.93076622,"Charles Veryard Reserve (CVR)",0,0.1,7.76,304,1844,1.38,16.43,24931,0.08,1.19,7.43,5.24,1853,0.4,119.7,1.92,1402.86,26.69,0.16,334.9,0.12,0.91,336.2,18.73,395.77,164,0.93,4.23,1.84,35.4
"CVR_3_2",3,"2","Soil",391080,6466664,115.8477625,-31.9307212,"Charles Veryard Reserve (CVR)",0,0.1,8.63,163.9,2925,2.96,16.81,11664,0.07,7.18,10.24,5.67,2623,0.73,212.5,3.56,686.8,50.95,0.21,193.4,2.11,1.77,306.2,22.36,367.51,78.88,1.19,5.61,2.63,32.97
"CVR_3_3",3,"3","Soil",391136,6466671,115.8483556,-31.93066343,"Charles Veryard Reserve (CVR)",0,0.1,6.56,167.6,2668,2.3,26.13,1615,0.05,3.99,5.69,6.13,3161,0.8,180.3,1.63,539.43,67.32,0.23,165.2,2.16,1.1,483.9,13.09,484.38,8.69,0.6,5.2,3.38,33.91
"CVR_3_4",3,"4","Soil",391118,6466699,115.8481684,-31.93040914,"Charles Veryard Reserve (CVR)",0,0.1,7.16,80.3,1641,1.45,6.42,1217,0.06,3.12,7.26,2.3,1618,0.37,102.4,1.24,183.28,25.69,0.13,59.2,1.51,3.59,115.3,7.75,139.88,6.93,0.81,3.74,0.96,14.15
"CVR_3_5",3,"5","Soil",391175,6466681,115.8487693,-31.93057697,"Charles Veryard Reserve (CVR)",0,0.1,6.66,170.4,2344,1.67,13.92,1400,0.03,3.12,6.83,5.07,2010,0.61,284.1,1.09,444.68,67.8,0.23,176.6,1.31,0.84,297.9,6.95,492.35,6.93,NA,3.88,1.48,24.41
"CVR_3_6",3,"6","Soil",391190,6466696,115.8489296,-31.93044311,"Charles Veryard Reserve (CVR)",0,0.1,6.89,98.5,3447,2.3,15.32,1557,0.05,7.06,8.29,6.05,2934,0.6,240.1,2.91,464.56,59.47,0.27,160,2.85,2,309.9,15.38,406.8,8.09,0.75,6.13,2.03,31.57
"CVR_3_7",3,"7","Soil",391257,6466658,115.849634,-31.93079229,"Charles Veryard Reserve (CVR)",0,0.1,6.92,133.1,2285,2.39,20.38,3046,0.07,5.83,7.28,8.36,2759,0.8,267,2.74,566.65,127.42,0.27,172.6,2.59,1.86,435.3,11.72,504.51,17.67,0.55,5.69,2.55,53.2
"CVR_4_1",4,"1","Soil",391248,6466698,115.8495433,-31.93043063,"Charles Veryard Reserve (CVR)",0,0.1,6.7,NA,2492,1.75,9.87,1383,0.07,3.44,6.35,4.44,1885,0.36,149.2,1.21,352.36,44.27,0.18,136.8,1.15,21.34,230.6,7.87,350.28,7.47,0.48,3.87,1.18,23.07
"CVR_4_2",4,"2","Soil",391266,6466705,115.8497345,-31.93036921,"Charles Veryard Reserve (CVR)",0,0.1,6.88,NA,2256,1.77,7.94,1721,0.03,3.03,7.46,2.94,2008,0.37,127.5,1.41,285.9,27.44,0.16,93.9,1.04,0.86,171.7,8.5,216.72,11.48,0.57,4.56,1.14,23.6
"CVR_4_3",4,"3","Soil",391106,6466647,115.8480356,-31.93087704,"Charles Veryard Reserve (CVR)",0,0.1,7.28,NA,3163,2.31,23.59,5872,0.13,5.28,8.39,8.46,3168,0.72,236.7,2.22,692.91,98.48,0.3,160.8,1.94,2.41,465.8,26.39,549.58,38.38,0.66,6.43,2.63,68.85
"CVR_4_4",4,"4","Soil",391318,6466659,115.8502793,-31.93078911,"Charles Veryard Reserve (CVR)",0,0.1,6.45,NA,2238,1.96,18.7,2176,0.07,3.71,5.93,5.35,2532,0.69,259.5,1.97,525.83,65.32,0.21,123.5,2.21,2.66,394.8,13.98,526.41,12.33,1.02,4.45,2.95,54.03
"CVR_4_5",4,"5","Soil",391337,6466670,115.8504815,-31.93069171,"Charles Veryard Reserve (CVR)",0,0.1,6.44,NA,3020,2.1,13.88,1528,0.05,6.05,10.24,4.7,2720,0.88,164.6,2.36,380.25,40.12,0.23,123.3,2.71,2.3,270.1,15.71,379.67,7.98,0.96,5.68,2.12,33.17
"CVR_4_6",4,"6","Soil",391380,6466689,115.8509384,-31.93052445,"Charles Veryard Reserve (CVR)",0,0.1,6.66,NA,2087,1.83,11.16,1160,0.06,3.82,5.83,5.23,1824,0.54,83.3,1.58,176.12,11.66,0.15,53.5,1.72,1.27,106.3,10.64,128.16,4.84,0.7,6.09,1.43,40.56
