"Code","Group","Sample.ID","Type","Easting","Northing","Longitude","Latitude","Location","Depth_min","Depth_max","pH","EC","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"CVR_6_7",6,"7","Soil",391409,6466622,115.8512376,-31.93113157,"Charles Veryard Reserve (CVR)",0,0.1,7.03,229.6,3137,5.19,23.82,2096,0.19,4.5,9.02,14.2,3922,0.47,227.8,1.81,333.34,31.12,0.26,84.5,1.74,2.25,272.1,44.87,297.76,9.15,0.76,6.09,2.41,119.31
"SLR_6_Sediment",6,"Sediment","Sediment",391367,6466412,115.8507698,-31.93302177,"Smith's Lake Reserve (SLR)",0,0.1,NA,NA,8463,113.63,40,13876,0.22,14.08,26.29,87.38,36052,2.41,634.1,7.53,1664.18,36.38,14.47,1613.7,8.54,12.05,846.9,158.18,41484.84,79.19,3.18,33.62,12.32,452.16
"CVR_7_1",7,"1","Soil",391257.5,6466550,115.8496271,-31.93176651,"Charles Veryard Reserve (CVR)",0,0.1,5.71,83.6,1415,2.74,20.01,907,0.06,4.07,2.6,3.61,2539,0.56,90.7,1.78,251.31,35.6,0.1,84.6,2.16,3.1,151.1,27.58,118.64,4.51,NA,2.61,3.08,73.02
"CVR_7_2",7,"2","Soil",391297,6466595,115.85005,-31.93136439,"Charles Veryard Reserve (CVR)",0,0.1,6.46,128.3,2587,2.55,13.69,1506,0.13,5.14,6.17,4.29,2281,0.37,239.3,2.27,302.74,45.55,0.19,189.5,2.01,9.73,227.3,18.17,280.9,8.41,NA,4.41,2.18,40.36
"CVR_7_3",7,"3","Soil",391292,6466585,115.849996,-31.93145411,"Charles Veryard Reserve (CVR)",0,0.1,6.77,195.1,2894,2.77,21.25,1813,0.12,6.65,6.37,6.43,2888,0.61,237.8,2.99,375.62,48.66,0.16,188.2,3.14,4.53,347.6,22.43,410.71,9.81,0.58,5.36,3.09,48.29
"CVR_7_4",7,"4","Soil",391341,6466567,115.8505122,-31.93162116,"Charles Veryard Reserve (CVR)",0,0.1,6.62,159.8,4722,4.74,15.06,1110,0.1,8.32,10.79,5.73,3814,0.66,188.1,3.71,239.82,42.04,0.25,125,3.41,2.42,220.9,18.41,222.19,6.07,0.85,8.9,3.2,29.6
"CVR_7_5",7,"5","Soil",391333,6466584,115.8504295,-31.93146706,"Charles Veryard Reserve (CVR)",0,0.1,6.82,182.1,3752,3.04,18.99,1774,0.09,6,8.44,12.26,3540,1.06,301.1,2.42,341.7,46.56,0.25,182.2,2.35,2.87,350.9,19.07,337.18,11.07,NA,6.1,4.9,40
"CVR_7_6",7,"6","Soil",391389,6466589,115.8510224,-31.93142732,"Charles Veryard Reserve (CVR)",0,0.1,6.95,210.5,2686,4.05,20.77,1861,0.16,5.99,8.02,12.18,3177,0.49,297.9,2.24,374.32,30.51,0.23,120.2,2.1,2.22,350.8,32.54,341.18,8.88,NA,5.07,2.65,99.8
"CVR_7_7",7,"7","Soil",391412,6466596,115.8512665,-31.93136638,"Charles Veryard Reserve (CVR)",0,0.1,8.12,149.5,4263,4.91,41.67,28031,0.45,5.43,13.81,67.51,5617,0.65,241.1,2.82,741.07,39.76,0.27,179.1,0.43,4.6,244.7,130.06,201.08,95.25,2.07,10.57,1.96,247.8
"SLR_7_Sed1",7,"Sed1","Sediment",391352,6466430,115.8506132,-31.93285797,"Smith's Lake Reserve (SLR)",0,0.1,4.63,217.9,1473,6.71,9.39,425,0.14,3.85,6.58,20.34,3018,0.5,100.7,2.12,203.69,10.36,0.77,101.7,1.32,1.5,51.7,119.64,2755.1,2.45,0.95,4.23,1.66,55.15
"SLR_7_Sed2",7,"Sed2","Sediment",391354,6466430,115.8506344,-31.93285816,"Smith's Lake Reserve (SLR)",0,0.1,4.75,272,1767,7.2,15.68,925,0.17,5.41,6.64,20.93,3921,0.5,159.6,2.54,264.85,11.62,0.65,139.2,1.92,2.41,56.4,139.93,3961.51,4.39,0.89,5.12,2.01,79.53
"SLR_8_1",8,"1","Soil",391335,6466509,115.8504423,-31.93214375,"Smith's Lake Reserve (SLR)",0,0.1,7.15,48,2783,3.87,20.63,2416,0.17,7.66,9.22,12.96,3801,0.67,100.8,3.55,360.03,27.9,0.31,41.8,2.76,2.55,176.2,132.21,289.1,12.95,1.1,7.98,2.05,67.72
